order_id,order_date,sku,product_name,quantity_sold,unit_price,channel,status
SO-1001,2026-04-25,SKU-1001,Wireless Mouse,12,24.99,Online,Completed
SO-1002,2026-04-25,SKU-1002,USB-C Dock,4,119.00,Retail,Completed
SO-1003,2026-04-25,SKU-1003,Mechanical Keyboard,7,89.50,Online,Completed
SO-1004,2026-04-25,SKU-1004,Laptop Stand,3,39.99,Wholesale,Completed
SO-1005,2026-04-25,SKU-1005,Noise Cancelling Headset,9,149.99,Online,Completed
SO-1006,2026-04-25,SKU-1006,Webcam HD,18,64.75,Retail,Completed
SO-1007,2026-04-25,SKU-1007,Portable SSD 1TB,5,139.00,Online,Completed
SO-1008,2026-04-25,SKU-1008,Ergonomic Chair,2,249.00,Wholesale,Completed
SO-1009,2026-04-25,SKU-1009,Monitor 27 Inch,6,219.00,Online,Completed
SO-1010,2026-04-25,SKU-1010,Desk Lamp,10,32.00,Retail,Completed
SO-1011,2026-04-25,SKU-1011,External Hard Drive,8,79.99,Online,Completed
SO-1012,2026-04-25,SKU-1012,Bluetooth Speaker,14,54.50,Retail,Completed
SO-1013,2026-04-25,SKU-1013,Tablet Sleeve,11,19.99,Online,Completed
SO-1014,2026-04-25,SKU-1014,Network Switch,3,87.00,Wholesale,Completed
SO-1015,2026-04-25,SKU-9999,Legacy Adapter,5,12.00,Online,Completed
SO-1016,2026-04-25,SKU-1006,Webcam HD,4,64.75,Online,Cancelled

